STATION,X_TWD97,Y_TWD97,monthly,time,DIFFDISP,Layer_1,Layer_2,Layer_3,Layer_4,Layer_All
ANHE,2602035.47057,179539.204623,1,2016-05-01,-6.07,-1.0,-3.0,0.0,2.0,-2.0
BEICHEN,2608228.94939,178859.958807,1,2016-05-01,-3.99,-1.0,-9.0,-3.0,2.0,-11.0
CANLIN,2608157.27696,173088.151033,1,2016-05-01,-7.45,-5.0,-10.0,0.0,-1.0,-16.0
DONGGUANG,2616755.31388,175783.144962,1,2016-05-01,-1.77,-11.0,-11.0,-1.0,-1.0,-24.0
DONGSHI,2595468.32293,163523.186557,1,2016-05-01,-4.64,-2.0,0.0,-2.0,2.0,-2.0
ERLUN,2629865.28709,190429.148778,1,2016-05-01,-10.99,-1.0,-1.0,1.0,-1.0,-2.0
FENGAN,2631894.18276,171859.184496,1,2016-05-01,-11.24,-2.0,-1.0,-1.0,0.0,-4.0
FENGRONG,2632016.259,179785.17549,1,2016-05-01,-5.04,-1.0,-4.0,-2.0,0.0,-7.0
GUANGFU,2626508.29835,189084.098343,1,2016-05-01,-0.88,-1.0,-4.0,-3.0,-1.0,-9.0
HAIFENG,2629140.25143,171150.145528,1,2016-05-01,-10.08,-2.0,-4.0,0.0,,-6.0
HONGLUN,2620454.90228,183487.975804,1,2016-05-01,-5.93,-3.0,-9.0,-1.0,-1.0,-14.0
HUNAN,2649583.28339,197073.456957,1,2016-05-01,-3.3,0.0,-1.0,0.0,-2.0,-3.0
HUWEI,2623606.30661,192041.068482,1,2016-05-01,-13.97,-1.0,-3.0,-1.0,-1.0,-6.0
JIANYANG,2614756.24677,163506.218274,1,2016-05-01,-14.22,0.0,-5.0,0.0,,-5.0
JIAXING,2616146.2859,194875.077945,1,2016-05-01,2.76,-1.0,-4.0,-3.0,0.0,-8.0
KECUO,2613831.28827,182075.186777,1,2016-05-01,-11.85,-1.0,-10.0,-2.0,0.0,-13.0
LONGYAN,2624184.90663,179646.08447,1,2016-05-01,-8.33,-0.0,-8.0,0.0,-1.0,-9.0
NEILIAO,2611723.34283,184142.181573,1,2016-05-01,-16.15,-3.0,-11.0,-2.0,-2.0,-18.0
QIAOYI,2637964.78657,196150.707581,1,2016-05-01,-3.38,1.0,1.0,-1.0,0.0,1.0
TANQIFENXIAO,2599940.93758,176526.188454,1,2016-05-01,-8.56,1.0,-1.0,-1.0,0.0,-1.0
TUKU,2620611.25819,187772.134694,1,2016-05-01,-9.1,-1.184,-7.79,1.624,-2.729,-10.08
XIGANG,2639733.1713,177634.127419,1,2016-05-01,4.94,-3.0,-4.0,-1.0,-1.0,-9.0
XINGHUA,2643201.13881,188364.082858,1,2016-05-01,-6.05,-1.0,-1.0,-1.0,-1.0,-4.0
XINJIE,2644119.88134,179743.007588,1,2016-05-01,-4.6,1.0,-3.0,-1.0,0.0,-3.0
XINPI,2598087.955,181888.900806,1,2016-05-01,-9.34,-3.0,-2.0,1.0,-1.0,-5.0
XINSHENG,2648279.21795,188342.160622,1,2016-05-01,-8.12,-2.0,-3.0,-2.0,1.0,-6.0
XINXING,2626356.24719,170721.169691,1,2016-05-01,-13.28,-3.0,-3.0,-4.0,0.0,-10.0
XIUTAN,2617397.2418,183652.118876,1,2016-05-01,-0.87,-6.0,-8.0,0.0,0.0,-14.0
XIZHOU,2638501.0722,199069.972355,1,2016-05-01,-4.22,0.0,0.0,-1.0,-1.0,-2.0
YIWU,2604974.34087,167842.226707,1,2016-05-01,-16.64,-1.0,-8.0,-4.0,-1.0,-14.0
YUANCHANG,2616803.26394,179485.192133,1,2016-05-01,9.35,-10.0,-9.0,-1.0,-1.0,-21.0
ZHENNAN,2621720.32227,202939.032793,1,2016-05-01,2.68,-2.0,-1.0,0.0,1.0,-2.0
ZHUTANG,2639635.48177,191944.07482,1,2016-05-01,0.23,0.0,-3.0,-1.0,-1.0,-5.0
ANHE,2602035.47057,179539.204623,2,2016-06-01,-3.304022399629404,1.0,0.0,-3.0,-2.0,-4.0
BEICHEN,2608228.94939,178859.958807,2,2016-06-01,-2.32844260723093,0.0,-3.0,1.0,2.0,0.0
CANLIN,2608157.27696,173088.151033,2,2016-06-01,-2.0985926897664364,0.0,0.0,-2.0,-1.0,-3.0
DONGGUANG,2616755.31388,175783.144962,2,2016-06-01,-3.141329711661551,7.0,2.0,-1.0,0.0,8.0
DONGSHI,2595468.32293,163523.186557,2,2016-06-01,-1.4770103962638683,0.0,-2.0,1.0,-1.0,-2.0
ERLUN,2629865.28709,190429.148778,2,2016-06-01,-2.445334700263093,1.0,-1.0,0.0,0.0,0.0
FENGAN,2631894.18276,171859.184496,2,2016-06-01,-4.14730216102209,1.0,-0.0,0.0,-1.0,0.0
FENGRONG,2632016.259,179785.17549,2,2016-06-01,-4.518574983837657,4.0,0.0,1.0,-2.0,3.0
GUANGFU,2626508.29835,189084.098343,2,2016-06-01,-3.8586725850254338,0.0,0.0,0.0,1.0,1.0
HAIFENG,2629140.25143,171150.145528,2,2016-06-01,-3.6399343782891065,1.0,-1.0,0.0,,0.0
HONGLUN,2620454.90228,183487.975804,2,2016-06-01,0.9145512841923148,2.0,2.0,0.0,-1.0,3.0
HUNAN,2649583.28339,197073.456957,2,2016-06-01,-5.318768403365055,0.0,1.0,-1.0,0.0,0.0
HUWEI,2623606.30661,192041.068482,2,2016-06-01,-1.0264355385382526,0.0,0.0,0.0,-2.0,-2.0
JIANYANG,2614756.24677,163506.218274,2,2016-06-01,-2.4685049948189186,0.0,0.0,0.0,,0.0
JIAXING,2616146.2859,194875.077945,2,2016-06-01,-6.923729113832399,0.0,2.0,0.0,0.0,2.0
KECUO,2613831.28827,182075.186777,2,2016-06-01,-5.100139236789204,0.0,1.0,-1.0,-1.0,-1.0
LONGYAN,2624184.90663,179646.08447,2,2016-06-01,-5.930080907040173,-2.0,2.0,0.0,0.0,0.0
NEILIAO,2611723.34283,184142.181573,2,2016-06-01,5.451401924624725,1.0,-2.0,-1.0,1.0,-1.0
QIAOYI,2637964.78657,196150.707581,2,2016-06-01,-1.2536004446794689,-1.0,0.0,0.0,-1.0,-2.0
TANQIFENXIAO,2599940.93758,176526.188454,2,2016-06-01,-5.2868832919676,6.0,-5.0,-2.0,0.0,-1.0
TUKU,2620611.25819,187772.134694,2,2016-06-01,-4.993060345886742,0.184,-0.2096,-1.624,1.729,0.07886
XIGANG,2639733.1713,177634.127419,2,2016-06-01,-4.644754838321704,2.0,2.0,0.0,0.0,4.0
XINGHUA,2643201.13881,188364.082858,2,2016-06-01,-2.760133722307493,6.0,-3.0,0.0,-4.0,-1.0
XINJIE,2644119.88134,179743.007588,2,2016-06-01,-5.905853838502832,0.0,0.0,0.0,0.0,0.0
XINPI,2598087.955,181888.900806,2,2016-06-01,-3.2826433068794953,0.0,-3.0,1.0,0.0,-2.0
XINSHENG,2648279.21795,188342.160622,2,2016-06-01,-2.0284851144594365,2.0,0.0,1.0,-1.0,2.0
XINXING,2626356.24719,170721.169691,2,2016-06-01,-7.773638385178416,2.0,2.0,0.0,0.0,4.0
XIUTAN,2617397.2418,183652.118876,2,2016-06-01,-7.148967636931966,0.0,3.0,-1.0,-1.0,1.0
XIZHOU,2638501.0722,199069.972355,2,2016-06-01,1.4657995154330488,-1.0,1.0,0.0,-1.0,-1.0
YIWU,2604974.34087,167842.226707,2,2016-06-01,-1.6600872611845938,-1.0,0.0,-1.0,1.0,-1.0
YUANCHANG,2616803.26394,179485.192133,2,2016-06-01,-11.565696905140399,9.0,-1.0,-2.0,-1.0,5.0
ZHENNAN,2621720.32227,202939.032793,2,2016-06-01,-5.0157184729739654,0.0,1.0,1.0,-1.0,1.0
ZHUTANG,2639635.48177,191944.07482,2,2016-06-01,-7.574868389020432,-1.0,2.0,-2.0,1.0,0.0
ANHE,2602035.47057,179539.204623,3,2016-07-01,-3.0459721314866517,-1.0,-2.0,3.0,-2.0,-2.0
BEICHEN,2608228.94939,178859.958807,3,2016-07-01,-2.236166416670318,0.0,5.0,1.0,-1.0,5.0
CANLIN,2608157.27696,173088.151033,3,2016-07-01,-0.4504762944230899,4.0,3.0,0.0,0.0,7.0
DONGGUANG,2616755.31388,175783.144962,3,2016-07-01,-2.7613943927526163,5.0,4.0,-2.0,1.0,8.0
DONGSHI,2595468.32293,163523.186557,3,2016-07-01,-0.8117390453839887,-1.0,-1.0,-1.0,0.0,-3.0
ERLUN,2629865.28709,190429.148778,3,2016-07-01,-0.15882353882187322,0.0,0.0,0.0,0.0,0.0
FENGAN,2631894.18276,171859.184496,3,2016-07-01,-2.3233173121986814,0.0,-1.0,-2.0,0.0,-3.0
FENGRONG,2632016.259,179785.17549,3,2016-07-01,-3.395787060429954,0.0,-1.0,-1.0,0.0,-2.0
GUANGFU,2626508.29835,189084.098343,3,2016-07-01,-0.7960308202723143,1.0,0.0,0.0,0.0,1.0
HAIFENG,2629140.25143,171150.145528,3,2016-07-01,-3.310964755530382,0.0,1.0,-1.0,,0.0
HONGLUN,2620454.90228,183487.975804,3,2016-07-01,1.155004001388855,1.0,3.0,1.0,0.0,5.0
HUNAN,2649583.28339,197073.456957,3,2016-07-01,-3.348565075058689,-1.0,-3.0,-2.0,-1.0,-7.0
HUWEI,2623606.30661,192041.068482,3,2016-07-01,-2.006462084540473,1.0,1.0,0.0,-0.0,2.0
JIANYANG,2614756.24677,163506.218274,3,2016-07-01,3.112218140171241,-3.0,-4.0,0.0,,-7.0
JIAXING,2616146.2859,194875.077945,3,2016-07-01,-5.230726251298707,1.0,4.0,4.0,0.0,9.0
KECUO,2613831.28827,182075.186777,3,2016-07-01,0.4711827643444225,1.0,1.0,-2.0,1.0,1.0
LONGYAN,2624184.90663,179646.08447,3,2016-07-01,-2.855895495050801,0.0,1.0,-1.0,1.0,1.0
NEILIAO,2611723.34283,184142.181573,3,2016-07-01,7.426601275385131,1.0,7.0,-1.0,1.0,8.0
QIAOYI,2637964.78657,196150.707581,3,2016-07-01,-1.7182615626088085,2.0,-1.0,-1.0,1.0,1.0
TANQIFENXIAO,2599940.93758,176526.188454,3,2016-07-01,-3.988508056329872,-3.0,-1.0,1.0,-1.0,-4.0
TUKU,2620611.25819,187772.134694,3,2016-07-01,-1.8370366821068504,-1.0,1.0,-2.0,-3.0,-5.0
XIGANG,2639733.1713,177634.127419,3,2016-07-01,-2.1986542166952936,-1.0,-1.0,-1.0,1.0,-2.0
XINGHUA,2643201.13881,188364.082858,3,2016-07-01,-0.8064275439894925,-2.0,-1.0,1.0,6.0,4.0
XINJIE,2644119.88134,179743.007588,3,2016-07-01,-4.5609855178323695,0.0,0.0,-2.0,-1.0,-3.0
XINPI,2598087.955,181888.900806,3,2016-07-01,-3.600955031293872,-1.0,1.0,-1.0,0.0,-1.0
XINSHENG,2648279.21795,188342.160622,3,2016-07-01,-1.2189702123466,-1.0,-1.0,-2.0,-1.0,-5.0
XINXING,2626356.24719,170721.169691,3,2016-07-01,-2.7566328684262436,1.0,0.0,-1.0,0.0,0.0
XIUTAN,2617397.2418,183652.118876,3,2016-07-01,-4.730992745225578,5.0,4.0,1.0,0.0,10.0
XIZHOU,2638501.0722,199069.972355,3,2016-07-01,1.1295509220142939,0.0,0.0,0.0,0.0,0.0
YIWU,2604974.34087,167842.226707,3,2016-07-01,2.9817102017670725,1.0,4.0,1.0,1.0,7.0
YUANCHANG,2616803.26394,179485.192133,3,2016-07-01,-12.02223781621447,-5.0,1.0,-2.0,0.0,-6.0
ZHENNAN,2621720.32227,202939.032793,3,2016-07-01,-8.353308167648152,1.0,2.0,-0.0,1.0,4.0
ZHUTANG,2639635.48177,191944.07482,3,2016-07-01,-9.791729832328956,1.0,-2.0,0.0,-1.0,-2.0
ANHE,2602035.47057,179539.204623,4,2016-08-01,-2.6956930060450484,2.0,1.0,-2.0,1.0,2.0
BEICHEN,2608228.94939,178859.958807,4,2016-08-01,-0.5484671160548318,-2.0,2.0,0.0,1.0,1.0
CANLIN,2608157.27696,173088.151033,4,2016-08-01,0.15489947014193176,0.0,4.0,1.0,1.0,6.0
DONGGUANG,2616755.31388,175783.144962,4,2016-08-01,-2.4063915094722432,0.0,2.0,0.0,0.0,2.0
DONGSHI,2595468.32293,163523.186557,4,2016-08-01,-0.05187588589525097,2.0,2.0,0.0,0.0,4.0
