STATION	X_TWD97	Y_TWD97	monthly	time	DIFFDISP	Layer_1	Layer_2	Layer_3	Layer_4	Layer_All
ANHE	2602035.471	179539.2046	1	16/5/01	-6.07	-1	-3	0	2	-2
BEICHEN	2608228.949	178859.9588	1	16/5/01	-3.99	-1	-9	-3	2	-11
CANLIN	2608157.277	173088.151	1	16/5/01	-7.45	-5	-10	0	-1	-16
DONGGUANG	2616755.314	175783.145	1	16/5/01	-1.77	-11	-11	-1	-1	-24
DONGSHI	2595468.323	163523.1866	1	16/5/01	-4.64	-2	0	-2	2	-2
ERLUN	2629865.287	190429.1488	1	16/5/01	-10.99	-1	-1	1	-1	-2
FENGAN	2631894.183	171859.1845	1	16/5/01	-11.24	-2	-1	-1	0	-4
FENGRONG	2632016.259	179785.1755	1	16/5/01	-5.04	-1	-4	-2	0	-7
GUANGFU	2626508.298	189084.0983	1	16/5/01	-0.88	-1	-4	-3	-1	-9
HAIFENG	2629140.251	171150.1455	1	16/5/01	-10.08	-2	-4	0		-6
HONGLUN	2620454.902	183487.9758	1	16/5/01	-5.93	-3	-9	-1	-1	-14
HUNAN	2649583.283	197073.457	1	16/5/01	-3.3	0	-1	0	-2	-3
HUWEI	2623606.307	192041.0685	1	16/5/01	-13.97	-1	-3	-1	-1	-6
JIANYANG	2614756.247	163506.2183	1	16/5/01	-14.22	0	-5	0		-5
JIAXING	2616146.286	194875.0779	1	16/5/01	2.76	-1	-4	-3	0	-8
KECUO	2613831.288	182075.1868	1	16/5/01	-11.85	-1	-10	-2	0	-13
LONGYAN	2624184.907	179646.0845	1	16/5/01	-8.33	0	-8	0	-1	-9
NEILIAO	2611723.343	184142.1816	1	16/5/01	-16.15	-3	-11	-2	-2	-18
QIAOYI	2637964.787	196150.7076	1	16/5/01	-3.38	1	1	-1	0	1
TANQIFENXIAO	2599940.938	176526.1885	1	16/5/01	-8.56	1	-1	-1	0	-1
TUKU	2620611.258	187772.1347	1	16/5/01	-9.1	-1.184	-7.79	1.624	-2.729	-10.08
XIGANG	2639733.171	177634.1274	1	16/5/01	4.94	-3	-4	-1	-1	-9
XINGHUA	2643201.139	188364.0829	1	16/5/01	-6.05	-1	-1	-1	-1	-4
XINJIE	2644119.881	179743.0076	1	16/5/01	-4.6	1	-3	-1	0	-3
XINPI	2598087.955	181888.9008	1	16/5/01	-9.34	-3	-2	1	-1	-5
XINSHENG	2648279.218	188342.1606	1	16/5/01	-8.12	-2	-3	-2	1	-6
XINXING	2626356.247	170721.1697	1	16/5/01	-13.28	-3	-3	-4	0	-10
XIUTAN	2617397.242	183652.1189	1	16/5/01	-0.87	-6	-8	0	0	-14
XIZHOU	2638501.072	199069.9724	1	16/5/01	-4.22	0	0	-1	-1	-2
YIWU	2604974.341	167842.2267	1	16/5/01	-16.64	-1	-8	-4	-1	-14
YUANCHANG	2616803.264	179485.1921	1	16/5/01	9.35	-10	-9	-1	-1	-21
ZHENNAN	2621720.322	202939.0328	1	16/5/01	2.68	-2	-1	0	1	-2
ZHUTANG	2639635.482	191944.0748	1	16/5/01	0.23	0	-3	-1	-1	-5
ANHE	2602035.471	179539.2046	2	16/6/01	-3.3040224	1	0	-3	-2	-4
BEICHEN	2608228.949	178859.9588	2	16/6/01	-2.328442607	0	-3	1	2	0
CANLIN	2608157.277	173088.151	2	16/6/01	-2.09859269	0	0	-2	-1	-3
DONGGUANG	2616755.314	175783.145	2	16/6/01	-3.141329712	7	2	-1	0	8
DONGSHI	2595468.323	163523.1866	2	16/6/01	-1.477010396	0	-2	1	-1	-2
ERLUN	2629865.287	190429.1488	2	16/6/01	-2.4453347	1	-1	0	0	0
FENGAN	2631894.183	171859.1845	2	16/6/01	-4.147302161	1	0	0	-1	0
FENGRONG	2632016.259	179785.1755	2	16/6/01	-4.518574984	4	0	1	-2	3
GUANGFU	2626508.298	189084.0983	2	16/6/01	-3.858672585	0	0	0	1	1
HAIFENG	2629140.251	171150.1455	2	16/6/01	-3.639934378	1	-1	0		0
HONGLUN	2620454.902	183487.9758	2	16/6/01	0.914551284	2	2	0	-1	3
HUNAN	2649583.283	197073.457	2	16/6/01	-5.318768403	0	1	-1	0	0
HUWEI	2623606.307	192041.0685	2	16/6/01	-1.026435539	0	0	0	-2	-2
JIANYANG	2614756.247	163506.2183	2	16/6/01	-2.468504995	0	0	0		0
JIAXING	2616146.286	194875.0779	2	16/6/01	-6.923729114	0	2	0	0	2
KECUO	2613831.288	182075.1868	2	16/6/01	-5.100139237	0	1	-1	-1	-1
LONGYAN	2624184.907	179646.0845	2	16/6/01	-5.930080907	-2	2	0	0	0
NEILIAO	2611723.343	184142.1816	2	16/6/01	5.451401925	1	-2	-1	1	-1
QIAOYI	2637964.787	196150.7076	2	16/6/01	-1.253600445	-1	0	0	-1	-2
TANQIFENXIAO	2599940.938	176526.1885	2	16/6/01	-5.286883292	6	-5	-2	0	-1
TUKU	2620611.258	187772.1347	2	16/6/01	-4.993060346	0.184	-0.2096	-1.624	1.729	0.07886
XIGANG	2639733.171	177634.1274	2	16/6/01	-4.644754838	2	2	0	0	4
XINGHUA	2643201.139	188364.0829	2	16/6/01	-2.760133722	6	-3	0	-4	-1
XINJIE	2644119.881	179743.0076	2	16/6/01	-5.905853839	0	0	0	0	0
XINPI	2598087.955	181888.9008	2	16/6/01	-3.282643307	0	-3	1	0	-2
XINSHENG	2648279.218	188342.1606	2	16/6/01	-2.028485114	2	0	1	-1	2
XINXING	2626356.247	170721.1697	2	16/6/01	-7.773638385	2	2	0	0	4
XIUTAN	2617397.242	183652.1189	2	16/6/01	-7.148967637	0	3	-1	-1	1
XIZHOU	2638501.072	199069.9724	2	16/6/01	1.465799515	-1	1	0	-1	-1
YIWU	2604974.341	167842.2267	2	16/6/01	-1.660087261	-1	0	-1	1	-1
YUANCHANG	2616803.264	179485.1921	2	16/6/01	-11.56569691	9	-1	-2	-1	5
ZHENNAN	2621720.322	202939.0328	2	16/6/01	-5.015718473	0	1	1	-1	1
ZHUTANG	2639635.482	191944.0748	2	16/6/01	-7.574868389	-1	2	-2	1	0
ANHE	2602035.471	179539.2046	3	16/7/01	-3.045972131	-1	-2	3	-2	-2
BEICHEN	2608228.949	178859.9588	3	16/7/01	-2.236166417	0	5	1	-1	5
CANLIN	2608157.277	173088.151	3	16/7/01	-0.450476294	4	3	0	0	7
DONGGUANG	2616755.314	175783.145	3	16/7/01	-2.761394393	5	4	-2	1	8
DONGSHI	2595468.323	163523.1866	3	16/7/01	-0.811739045	-1	-1	-1	0	-3
ERLUN	2629865.287	190429.1488	3	16/7/01	-0.158823539	0	0	0	0	0
FENGAN	2631894.183	171859.1845	3	16/7/01	-2.323317312	0	-1	-2	0	-3
FENGRONG	2632016.259	179785.1755	3	16/7/01	-3.39578706	0	-1	-1	0	-2
GUANGFU	2626508.298	189084.0983	3	16/7/01	-0.79603082	1	0	0	0	1
HAIFENG	2629140.251	171150.1455	3	16/7/01	-3.310964756	0	1	-1		0
HONGLUN	2620454.902	183487.9758	3	16/7/01	1.155004001	1	3	1	0	5
HUNAN	2649583.283	197073.457	3	16/7/01	-3.348565075	-1	-3	-2	-1	-7
HUWEI	2623606.307	192041.0685	3	16/7/01	-2.006462085	1	1	0	0	2
JIANYANG	2614756.247	163506.2183	3	16/7/01	3.11221814	-3	-4	0		-7
JIAXING	2616146.286	194875.0779	3	16/7/01	-5.230726251	1	4	4	0	9
KECUO	2613831.288	182075.1868	3	16/7/01	0.471182764	1	1	-2	1	1
LONGYAN	2624184.907	179646.0845	3	16/7/01	-2.855895495	0	1	-1	1	1
NEILIAO	2611723.343	184142.1816	3	16/7/01	7.426601275	1	7	-1	1	8
QIAOYI	2637964.787	196150.7076	3	16/7/01	-1.718261563	2	-1	-1	1	1
TANQIFENXIAO	2599940.938	176526.1885	3	16/7/01	-3.988508056	-3	-1	1	-1	-4
TUKU	2620611.258	187772.1347	3	16/7/01	-1.837036682	-1	1	-2	-3	-5
XIGANG	2639733.171	177634.1274	3	16/7/01	-2.198654217	-1	-1	-1	1	-2
XINGHUA	2643201.139	188364.0829	3	16/7/01	-0.806427544	-2	-1	1	6	4
XINJIE	2644119.881	179743.0076	3	16/7/01	-4.560985518	0	0	-2	-1	-3
XINPI	2598087.955	181888.9008	3	16/7/01	-3.600955031	-1	1	-1	0	-1
XINSHENG	2648279.218	188342.1606	3	16/7/01	-1.218970212	-1	-1	-2	-1	-5
XINXING	2626356.247	170721.1697	3	16/7/01	-2.756632868	1	0	-1	0	0
XIUTAN	2617397.242	183652.1189	3	16/7/01	-4.730992745	5	4	1	0	10
XIZHOU	2638501.072	199069.9724	3	16/7/01	1.129550922	0	0	0	0	0
YIWU	2604974.341	167842.2267	3	16/7/01	2.981710202	1	4	1	1	7
YUANCHANG	2616803.264	179485.1921	3	16/7/01	-12.02223782	-5	1	-2	0	-6
ZHENNAN	2621720.322	202939.0328	3	16/7/01	-8.353308168	1	2	0	1	4
ZHUTANG	2639635.482	191944.0748	3	16/7/01	-9.791729832	1	-2	0	-1	-2
ANHE	2602035.471	179539.2046	4	16/8/01	-2.695693006	2	1	-2	1	2
BEICHEN	2608228.949	178859.9588	4	16/8/01	-0.548467116	-2	2	0	1	1
CANLIN	2608157.277	173088.151	4	16/8/01	0.15489947	0	4	1	1	6
DONGGUANG	2616755.314	175783.145	4	16/8/01	-2.406391509	0	2	0	0	2
DONGSHI	2595468.323	163523.1866	4	16/8/01	-0.051875886	2	2	0	0	4
ERLUN	2629865.287	190429.1488	4	16/8/01	0.639432879	0	-1	0	-3	-4
FENGAN	2631894.183	171859.1845	4	16/8/01	-1.319208095	-2	-1	-2	0	-5
FENGRONG	2632016.259	179785.1755	4	16/8/01	-2.996024597	-1	-1	-1	0	-3
GUANGFU	2626508.298	189084.0983	4	16/8/01	-0.065518686	0	0	0	0	0
HAIFENG	2629140.251	171150.1455	4	16/8/01	-3.405697587	0	-5	1		-4
HONGLUN	2620454.902	183487.9758	4	16/8/01	0.584992697	0	-2	-2	-1	-5
HUNAN	2649583.283	197073.457	4	16/8/01	-1.486682212	-1	-2	0	1	-2
HUWEI	2623606.307	192041.0685	4	16/8/01	-1.719199987	0	0	-1	1	0
JIANYANG	2614756.247	163506.2183	4	16/8/01	3.474456642	3	4	0		7
JIAXING	2616146.286	194875.0779	4	16/8/01	-2.410237181	0	-4	-1	0	-5
KECUO	2613831.288	182075.1868	4	16/8/01	1.512495187	0	3	0	0	3
LONGYAN	2624184.907	179646.0845	4	16/8/01	-1.73902867	1	0	-1	0	0
NEILIAO	2611723.343	184142.1816	4	16/8/01	6.083478098	1	-2	-1	-1	-3
QIAOYI	2637964.787	196150.7076	4	16/8/01	-0.751993767	-3	1	-1	-1	-4
TANQIFENXIAO	2599940.938	176526.1885	4	16/8/01	-2.768731043	1	3	0	0	4
TUKU	2620611.258	187772.1347	4	16/8/01	-0.203149516	2	1	3	-1	5
XIGANG	2639733.171	177634.1274	4	16/8/01	-1.288421435	-2	-2	-1	0	-5
XINGHUA	2643201.139	188364.0829	4	16/8/01	-0.302253079	0	-1	-1	-2	-4
XINJIE	2644119.881	179743.0076	4	16/8/01	-2.405226062	-1	0	-1	2	0
XINPI	2598087.955	181888.9008	4	16/8/01	-4.08063099	-1	0	-1	1	-1
XINSHENG	2648279.218	188342.1606	4	16/8/01	-0.894139492	-2	-2	0	-1	-5
XINXING	2626356.247	170721.1697	4	16/8/01	2.151465208	-2	-4	-1	0	-7
XIUTAN	2617397.242	183652.1189	4	16/8/01	-2.551341614	-3	-2	-1	0	-6
XIZHOU	2638501.072	199069.9724	4	16/8/01	-0.961205945	0	-2	1	0	-1
YIWU	2604974.341	167842.2267	4	16/8/01	2.882554248	0	3	2	-1	4
YUANCHANG	2616803.264	179485.1921	4	16/8/01	-11.25217334	2	7	1	-1	9
ZHENNAN	2621720.322	202939.0328	4	16/8/01	-8.30141305	0	0	-1	1	0
ZHUTANG	2639635.482	191944.0748	4	16/8/01	-9.314577557	0	-1	-1	1	-1
ANHE	2602035.471	179539.2046	5	16/9/01	-3.241188243	1	5	-3	1	4
BEICHEN	2608228.949	178859.9588	5	16/9/01	0.859165199	2	4	-2	0	4
